params,overall_accuracy,overall_f1,periodicity_accuracy,temporal_stability_accuracy,coordination_accuracy,periodicity_f1,temporal_stability_f1,coordination_f1,periodicity_recall,temporal_stability_recall,coordination_recall,training_time
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7333333333333334,0.7144345397473026,0.64,0.8,0.76,0.6442228739002932,0.7714285714285714,0.7276521739130436,0.64,0.8,0.76,2.7308897972106934
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7466666666666667,0.7295752520852264,0.72,0.84,0.68,0.7165421245421245,0.8214705882352941,0.6507130434782609,0.72,0.84,0.68,3.6937363147735596
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.6933333333333334,0.6823270063270064,0.56,0.8,0.72,0.588,0.7714285714285714,0.6875524475524475,0.56,0.8,0.72,3.9145359992980957
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7333333333333334,0.7187227658150684,0.68,0.84,0.68,0.683010752688172,0.8214705882352941,0.6516869565217391,0.68,0.84,0.68,2.7686779499053955
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7200000000000001,0.7123984078186977,0.6,0.8,0.76,0.6381144781144781,0.7714285714285714,0.7276521739130436,0.6,0.8,0.76,2.685359239578247
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7333333333333334,0.7281722142591708,0.64,0.8,0.76,0.6707692307692308,0.7714285714285714,0.7423188405797103,0.64,0.8,0.76,4.07270884513855
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7466666666666667,0.7221256312644811,0.68,0.8,0.76,0.6666004962779156,0.7714285714285714,0.7283478260869566,0.68,0.8,0.76,2.7070839405059814
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7600000000000001,0.7378937198067632,0.72,0.8,0.76,0.7139047619047619,0.7714285714285714,0.7283478260869566,0.72,0.8,0.76,2.8585526943206787
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7333333333333333,0.7267925257780329,0.6,0.76,0.84,0.6381144781144781,0.7215384615384616,0.8207246376811593,0.6,0.76,0.84,4.05364990234375
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7333333333333334,0.7235810276679842,0.64,0.8,0.76,0.664,0.7790909090909091,0.7276521739130436,0.64,0.8,0.76,2.4188971519470215
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7600000000000001,0.7481414141414141,0.68,0.8,0.8,0.6986666666666665,0.7790909090909091,0.7666666666666667,0.68,0.8,0.8,3.231513738632202
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7333333333333334,0.7350573087043676,0.72,0.76,0.72,0.7528205128205129,0.7512605042016807,0.7010909090909091,0.72,0.76,0.72,4.203976154327393
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7466666666666667,0.7307826086956521,0.72,0.8,0.72,0.7165714285714286,0.7714285714285714,0.7043478260869566,0.72,0.8,0.72,2.5195541381835938
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7200000000000001,0.7020475395188038,0.64,0.76,0.76,0.660371352785146,0.7215384615384616,0.7242328042328041,0.64,0.76,0.76,3.8708860874176025
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.6666666666666666,0.6706694976962667,0.52,0.76,0.72,0.5612763532763533,0.7607843137254902,0.6899478260869566,0.52,0.76,0.72,3.0738906860351562
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7466666666666667,0.7232166845500179,0.72,0.76,0.76,0.7238787878787878,0.7215384615384616,0.7242328042328041,0.72,0.76,0.76,3.0575249195098877
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7333333333333334,0.7161050918391072,0.68,0.76,0.76,0.6865454545454546,0.7341176470588234,0.7276521739130436,0.68,0.76,0.76,2.988541841506958
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.6533333333333333,0.6278760593310384,0.52,0.72,0.72,0.46545454545454545,0.728225806451613,0.6899478260869566,0.52,0.72,0.72,3.0321688652038574
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7866666666666666,0.7588001335737662,0.8,0.72,0.84,0.7856774193548387,0.6857142857142857,0.8050086956521738,0.8,0.72,0.84,2.8439648151397705
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7333333333333334,0.7218358634829224,0.64,0.76,0.8,0.6492121212121212,0.7512605042016807,0.765034965034965,0.64,0.76,0.8,3.066539764404297
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.5866666666666668,0.6289196108550946,0.56,0.6,0.6,0.6,0.6315207373271889,0.6552380952380952,0.56,0.6,0.6,2.994997024536133
